grid_id,n,avg_total_time,avg_travel_time,avg_total_distance,avg_travel_distance
1kmN3377E4326,"14",60.8988095238095,31.6785714285714,12544.0714285714,10944.2857142857
1kmN3377E4328,"1",72.2833333333333,33,14417,12302
1kmN3377E4329,"3",42.45,13.3333333333333,9697.66666666667,8080
1kmN3377E4330,"6",37.8861111111111,11.1777777777778,8069.66666666667,6508.33333333333
1kmN3377E4331,"7",50.2952380952381,23.2142857142857,10651.2857142857,9105.57142857143
1kmN3377E4332,"8",47.5041666666667,16.1729166666667,9431.25,7641.25
1kmN3377E4333,"16",35.7333333333333,16.365625,7298.4375,6201.625
1kmN3377E4334,"15",38.7766666666667,16.1244444444444,6370.06666666667,5104.66666666667
1kmN3377E4335,"14",45.1642857142857,19.6369047619048,9577.85714285714,8112.92857142857
1kmN3378E4306,"2",91.5833333333333,63.5,25097,23588.5
1kmN3378E4307,"4",94.7583333333333,52.2166666666667,31292.75,28797.5
1kmN3378E4308,"5",76.6333333333333,43.7866666666667,22458.2,20626
1kmN3378E4309,"3",57.7111111111111,26.6222222222222,17651.3333333333,15840
1kmN3378E4315,"1",78.6,35,10532,8188
1kmN3378E4318,"1",53.2833333333333,23,11412,9855
1kmN3378E4319,"10",49.645,26.235,10136.8,8963.7
1kmN3378E4320,"37",44.0603603603604,25.3382882882883,12258.1621621622,11312.5135135135
1kmN3378E4321,"12",53.4416666666667,19.9166666666667,11177.5833333333,9324.16666666667
1kmN3378E4322,"7",45.4738095238095,28.3547619047619,12044.2857142857,11115.5714285714
1kmN3378E4325,"3",59.7111111111111,19,8747.66666666667,6391.33333333333
1kmN3378E4326,"16",56.3958333333333,26.7177083333333,13568.8125,11960.6875
1kmN3378E4327,"12",44.4708333333333,20.9166666666667,11687.1666666667,10324.5833333333
1kmN3378E4328,"2",60.9666666666667,18.5,12889.5,10455.5
1kmN3378E4329,"2",43.3666666666667,20,5618,4230.5
1kmN3378E4331,"23",45.1594202898551,22.7724637681159,10166.8695652174,8949.65217391304
1kmN3378E4332,"18",39.112037037037,20.4754901960784,8297.44444444445,7640.58823529412
1kmN3378E4333,"3",41.3666666666667,27,9915,9087.33333333333
1kmN3378E4334,"12",37.1625,19.5152777777778,8150.91666666667,7158.41666666667
1kmN3378E4335,"5",37.1833333333333,15.9166666666667,5517,4324.4
1kmN3379E4307,"3",76.8833333333333,49.2888888888889,25713,24222.3333333333
1kmN3379E4308,"3",74.4444444444444,43.3111111111111,21774.3333333333,20032
1kmN3379E4310,"4",92.7083333333333,54.5,26725.75,24673.25
1kmN3379E4311,"6",85.4611111111111,44.2222222222222,19026.3333333333,16763
1kmN3379E4312,"6",73.8166666666667,38.5027777777778,18115.6666666667,16117.5
1kmN3379E4313,"2",56.1166666666667,32.45,13580,12283
1kmN3379E4319,"24",57.5701388888889,31.4451388888889,12489.9166666667,11038.7083333333
1kmN3379E4320,"2",33.05,20.5,10701.5,9970.5
1kmN3379E4321,"11",35.5136363636364,17.2727272727273,9470.27272727273,8411.54545454545
1kmN3379E4322,"38",41.5894736842105,17.534649122807,10503.4210526316,9199.34210526316
1kmN3379E4323,"3",55.9888888888889,28,15995.3333333333,14588
1kmN3379E4324,"1",46.4,28,12505,11606
1kmN3379E4325,"6",50.3388888888889,24.6083333333333,10999.8333333333,9565.66666666667
1kmN3379E4326,"2",119.4,65.4,31660.5,28669
1kmN3379E4327,"3",45.85,13.6666666666667,7479.66666666667,5633.33333333333
1kmN3379E4328,"10",47.89,26.9,12997.5,11986.4
1kmN3379E4330,"23",42.4086956521739,18.6905797101449,8850.13043478261,7514.34782608696
1kmN3379E4331,"6",42.7444444444444,12.1666666666667,7055,5280.66666666667
